Name,Purpose,Cost_USD,Qty,Total_USD,Link,Distributor
20awg Wire,"For soldering components together. Wires are for initial prototyping",3.50,1,3.50,"https://www.aliexpress.com/item/1005006897578592.html?spm=a2g0o.cart.0.0.202b38dahIcfZq&mp=1&pdp_npi=6%40dis%21USD%21USD%203.00%21USD%203.00%21%21USD%203.00%21%21%21%402140c1c317730025247084661e8aca%2112000038655393765%21ct%21PK%214157155833%21%211%210%21",AliExpress
MX Switches (Red),"Controls",3.10,1,3.10,"https://www.aliexpress.com/item/1005006425450443.html?spm=a2g0o.productlist.main.2.1f7d4fadK7dHey&algo_pvid=17ddcf14-83d9-4c65-99f5-167ef2e71547&algo_exp_id=17ddcf14-83d9-4c65-99f5-167ef2e71547-1&pdp_ext_f=%7B%22order%22%3A%222431%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.83%212.67%21%21%2119.47%2118.37%21%402102f0cc17730024884818339e7817%2112000037120671469%21sea%21PK%214157155833%21X%211%210%21n_tag%3A-29919%3Bd%3Aab4c0ae0%3Bm03_new_user%3A-29895&curPageLogUid=cwrAJQVLfG5s&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006425450443%7C_p_origin_prod%3A",AliExpress
Self Tapping Screws (M3x14mm),"Connect the top and bottom case together",1.50,1,1.50,"https://www.aliexpress.com/item/1005002305365113.html?spm=a2g0o.productlist.main.7.32dd69499tIVDQ&algo_pvid=b7c0cdbd-e991-403b-b9c0-6033ec7071fe&algo_exp_id=b7c0cdbd-e991-403b-b9c0-6033ec7071fe-6&pdp_ext_f=%7B%22order%22%3A%22793%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.02%210.99%21%21%211.02%210.99%21%402101364d17728196614753612e8ae9%2112000020000646034%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=KOFSqmHcOZKG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002305365113%7C_p_origin_prod%3A",AliExpress
Nuts (M3),"Fasten the LCD",1.60,1,1.60,"https://www.aliexpress.com/item/1005006435394607.html?spm=a2g0o.productlist.main.12.5a4b680anGmDfu&aem_p4p_detail=20260306100630756650916737840000319218&algo_pvid=0d001e41-c13e-4af2-a4fc-21708f402cd7&algo_exp_id=0d001e41-c13e-4af2-a4fc-21708f402cd7-11&pdp_ext_f=%7B%22order%22%3A%223828%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.13%210.99%21%21%211.13%210.99%21%402140e67317728203899943770ef119%2112000037156674212%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=vBiYAKj88g7o&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006435394607%7C_p_origin_prod%3A&search_p4p_id=20260306100630756650916737840000319218_4",AliExpress
ESP32-C3,"Main MCU",6.17,1,6.17,"https://www.aliexpress.com/p/tesla-landing/index.html?src=google&aff_fcid=a9365f41f97944a492243e77b5f9b779-1773150912277-05693-irey5Th&aff_fsk=irey5Th&aff_platform=promotion&sk=irey5Th&aff_trace_key=a9365f41f97944a492243e77b5f9b779-1773150912277-05693-irey5Th&terminal_id=030e223126a34406850324ed01b4f500&scenario=c_ppc_item_bridge&productId=1005004740051202&_immersiveMode=true&withMainCard=true&OLP=1128500808_f&o_s_id=1128500808&afSmartRedirect=n",AliExpress
2.8 inch ILI9341 LCD,"Display to show content",8.63,1,8.63,"https://www.aliexpress.com/item/32847628219.html?spm=a2g0o.productlist.main.1.66c9a0f0a0f09a&algo_pvid=66fbe8f3-9d1f-4586-86b8-a08c5607a44b&algo_exp_id=66fbe8f3-9d1f-4586-86b8-a08c5607a44b-0&pdp_ext_f=%7B%22order%22%3A%222569%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.38%216.88%21%21%217.38%216.88%21%402141122217728194602436149eb976%2166452845724%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=OyDFuZzDWwcb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32847628219%7C_p_origin_prod%3A",AliExpress
Female to Female Wires,"Connect components during prototyping",3.00,1,3.00,"https://www.aliexpress.com/item/1005005501503609.html?spm=a2g0o.productlist.main.1.43afxX9MxX9MnF&algo_pvid=abeb989d-bc80-4214-81b9-60ddbfd4225d&algo_exp_id=abeb989d-bc80-4214-81b9-60ddbfd4225d-0&pdp_ext_f=%7B%22order%22%3A%2211273%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.85%211.35%21%21%211.85%211.35%21%402101246417728195523517561eb709%2112000033328892977%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=tqy9UncMIi4h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005501503609%7C_p_origin_prod%3A",AliExpress
Screws (M3x6mm),"Fasten the LCD",4.00,1,4.00,"https://www.aliexpress.com/item/1005006995421098.html?spm=a2g0o.productlist.main.3.6833XqcKXqcKTE&algo_pvid=52f34f68-cb78-497e-a5b3-eebdf77d3e23&algo_exp_id=52f34f68-cb78-497e-a5b3-eebdf77d3e23-2&pdp_ext_f=%7B%22order%22%3A%2222047%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006995421098%22%2C%22orig_item_id%22%3A%221005006674812661%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.08%211.04%21%21%2121.20%217.16%21%402101584917728200324678038e94e6%2112000038985462861%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=PZiIvCIdQTUw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006995421098%7C_p_origin_prod%3A1005006674812661",AliExpress
Male Headers,"Solder onto the dev board",1.80,1,1.80,"https://www.aliexpress.com/item/4000988113226.html?spm=a2g0o.productlist.main.1.213fAAQzAAQzWJ&algo_pvid=331ca0ad-f253-41f1-af10-2e7b5d7707ba&algo_exp_id=331ca0ad-f253-41f1-af10-2e7b5d7707ba-0&pdp_ext_f=%7B%22order%22%3A%228463%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.61%211.11%21%21%211.61%211.11%21%400b1bf20817728204692248567eee37%2110000013202368860%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa9993727%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=O3rJbHZwXitM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000988113226%7C_p_origin_prod%3A",AliExpress
Design inspired and adapted from 'AAhil78', , , , , , 

